time,成品钢材产量,原煤产量,原油加工量产量,火力发电产量
20010101,1226.861,7698.135605,1694.751208,921.1748477
20010201,1245.225,7724.029856,1732.602199,935.3444187
20010301,1262.034,7755.912642,1769.696623,949.4011614
20010401,1277.975,7784.331193,1803.317008,962.9486797
20010501,1291.673,7809.451813,1826.822852,974.3633516
20010601,1301.798,7843.237136,1835.449913,982.4469348
20010701,1308.913,7903.408048,1827.311422,987.5278705
20010801,1316.893,8004.24545,1806.976054,991.4773496
20010901,1329.199,8139.587052,1783.895391,996.387531
20011001,1347.751,8294.866481,1761.560212,1001.615042
20011101,1375.869,8453.089291,1743.642475,1007.654731
20011201,1412.212,8603.796149,1736.132528,1015.343912
20020101,1452.953,8736.550576,1741.599794,1025.339458
20020201,1492.673,8843.404937,1759.716721,1038.544107
20020301,1527.046,8920.095912,1785.418362,1053.650345
20020401,1554.976,8972.460204,1811.210869,1068.783173
20020501,1576.541,9013.566342,1830.852034,1083.007523
20020601,1592.825,9055.566334,1842.533329,1095.534207
20020701,1606.119,9114.495525,1850.482568,1107.425401
20020801,1619.866,9199.177947,1858.9561,1120.104782
20020901,1636.52,9322.082494,1872.738777,1135.245861
20021001,1656.361,9482.35526,1893.133381,1152.880595
20021101,1676.497,9663.297771,1916.029117,1171.559295
20021201,1698.955,9849.309094,1935.220288,1188.249552
20030101,1726.102,10032.29233,1945.578068,1202.150217
20030201,1757.99,10221.80362,1946.805282,1213.242927
20030301,1798.175,10419.38981,1944.51259,1225.030962
20030401,1844.668,10601.93441,1947.247155,1240.455903
20030501,1894.573,10751.11235,1960.538848,1258.67564
20030601,1944.842,10866.46195,1986.340674,1279.958506
20030701,1992.127,10958.45296,2021.270434,1301.607105
20030801,2035.615,11046.4441,2060.865058,1319.719157
20030901,2076.929,11158.48592,2100.247021,1333.721468
20031001,2118.629,11314.74656,2134.217567,1344.635508
20031101,2161.745,11536.31199,2160.978657,1355.975271
20031201,2203.541,11808.1204,2180.726398,1370.545436
20040101,2237.873,12083.94262,2196.853946,1387.548966
20040201,2264.691,12325.37396,2211.434078,1404.776794
20040301,2284.335,12525.76196,2226.266784,1420.358242
20040401,2303.812,12701.99878,2242.185795,1431.781346
20040501,2334.039,12871.76311,2258.080374,1441.888093
20040601,2382.474,13043.06043,2273.468047,1452.266187
20040701,2451.801,13208.39203,2288.610685,1464.617251
20040801,2533.65,13358.14097,2303.467242,1483.258642
20040901,2616.116,13474.06777,2316.912422,1505.669025
20041001,2690.841,13544.21149,2332.301576,1529.990866
20041101,2752.378,13567.667,2350.969444,1552.750814
20041201,2800.243,13577.00848,2371.180334,1571.136524
20050101,2838.303,13628.88426,2388.088578,1584.873667
20050201,2870.143,13759.63072,2399.221926,1594.541335
20050301,2900.311,13981.45316,2403.671825,1600.318419
20050401,2936.1,14278.06613,2405.116184,1606.264649
20050501,2979.46,14611.18275,2409.672811,1614.306114
20050601,3030.08,14936.87153,2418.37177,1624.572027
20050701,3087.194,15230.05385,2427.107408,1638.620932
20050801,3149.908,15473.90342,2432.416388,1653.155231
20050901,3216.801,15679.12804,2434.766334,1667.740023
20051001,3282.401,15864.24764,2436.492945,1682.719744
20051101,3346.88,16054.3893,2440.316089,1698.115904
20051201,3416.426,16266.3661,2449.116954,1715.372805
20060101,3497.834,16487.60873,2462.773072,1735.361574
20060201,3588.37,16682.59884,2478.152111,1757.741987
20060301,3675.375,16822.6729,2489.969979,1783.038394
20060401,3744.547,16903.43168,2495.440521,1810.546539
20060501,3793.947,16963.54639,2493.799969,1839.802532
20060601,3831.88,17033.19056,2491.848413,1872.453018
20060701,3868.875,17161.96756,2496.856185,1909.570986
20060801,3917.348,17374.0377,2513.437198,1952.236745
20060901,3983.47,17661.17024,2539.249148,2001.099868
20061001,4068.413,17949.74431,2569.671667,2050.379188
20061101,4167.66,18180.4291,2599.327655,2093.506001
20061201,4261.581,18315.53795,2624.008531,2125.08835
20070101,4339.287,18369.62041,2644.663359,2147.721954
20070201,4404.795,18402.44289,2662.680131,2166.376033
20070301,4463.988,18459.49514,2681.37121,2186.968161
20070401,4526.6,18575.8415,2700.325444,2211.44193
20070501,4598.518,18750.62081,2717.169481,2238.866633
20070601,4676.709,18956.17411,2728.824522,2267.213575
20070701,4758.983,19161.84047,2735.297031,2291.949962
20070801,4839.61,19342.59742,2739.928627,2312.532876
20070901,4906.275,19528.53365,2749.767609,2328.275464
20071001,4948.51,19754.58886,2768.997079,2340.16981
20071101,4964.245,20035.79589,2796.717414,2352.165671
20071201,4968.534,20355.2011,2826.539104,2368.747616
20080101,4974.893,20717.4765,2851.463068,2385.071014
20080201,4988.492,21089.47414,2867.101364,2401.631208
20080301,5010.138,21409.95967,2875.279205,2416.375714
20080401,5023.148,21671.04088,2880.110485,2424.773473
20080501,5004.497,21861.53072,2885.460224,2424.830859
20080601,4945.275,21990.74308,2889.145525,2410.223775
20080701,4851.144,22014.20833,2886.235387,2375.672207
20080801,4738.081,21907.82234,2872.620832,2322.874801
20080901,4643.456,21693.69819,2845.55283,2258.635284
20081001,4604.969,21486.62385,2809.61349,2200.97368
20081101,4634.032,21398.53653,2778.050404,2161.831076
20081201,4717.024,21486.18012,2763.665756,2144.584836
20090101,4833.334,21784.91728,2774.890582,2152.265944
20090201,4969.887,22299.89381,2815.008776,2183.588488
20090301,5120.937,22972.57061,2880.720839,2227.861613
20090401,5288.013,23674.92364,2963.382318,2281.67648
20090501,5474.429,24301.98158,3053.005809,2338.608173
20090601,5677.284,24846.07684,3139.52762,2402.291054
20090701,5889.103,25283.23307,3213.87175,2480.783307
20090801,6097.374,25692.48954,3270.236689,2573.12297
20090901,6280.915,26079.37473,3308.622483,2671.105829
20091001,6410.085,26469.09427,3332.28209,2756.99166
20091101,6484.296,26846.5628,3346.055254,2818.750213
20091201,6523.562,27186.32017,3359.110518,2856.244406
20100101,6550.127,27410.32475,3377.450245,2869.110202
20100201,6572.471,27484.64818,3402.397347,2854.140854
20100301,6602.808,27528.33671,3429.904541,2822.85583
20100401,6640.683,27611.4453,3454.043308,2788.837578
20100501,6666.931,27729.63014,3473.748809,2759.795249
20100601,6669.065,27913.29759,3492.282028,2742.124958
20100701,6645.756,28226.15833,3514.335687,2733.641173
20100801,6615.79,28656.04288,3544.3612,2736.30239
20100901,6611.067,29132.12811,3583.197066,2752.989148
20101001,6663.717,29620.92317,3626.209459,2783.903511
20101101,6768.758,30053.65417,3666.432963,2825.948548
20101201,6900.332,30432.23263,3698.478874,2874.098559
20110101,7031.735,30752.90074,3720.655211,2932.703996
20110201,7143.247,31031.38984,3735.105014,3002.742947
20110301,7225.237,31291.09605,3745.562289,3077.364199
20110401,7285,31553.1141,3753.885464,3147.572125
20110501,7346.111,31876.52585,3755.700231,3211.311495
20110601,7407.311,32157.6971,3748.523399,3258.626473
20110701,7452.84,32229.78092,3735.514519,3281.780856
20110801,7471.59,31995.82498,3719.711073,3281.281867
20110901,7455.097,31487.92702,3709.879054,3259.569377
20111001,7422.14,30800.55287,3712.477609,3233.044084
20111101,7408.338,30124.77049,3727.730138,3212.108734
20111201,7439.977,29652.88439,3748.828554,3202.105238
20120101,7515.139,29499.33583,3769.224427,3199.500105
20120201,7620.684,29651.23155,3782.390706,3198.745611
20120301,7726.669,29967.16208,3783.659903,3192.984139
20120401,7803.965,30301.19356,3779.008729,3173.260888
20120501,7843.073,30531.08747,3776.560508,3140.101853
20120601,7867.337,30642.88248,3786.241643,3106.944684
20120701,7903.95,30674.78889,3815.675736,3087.614436
20120801,7968.544,30643.62431,3866.751848,3088.198098
20120901,8069.726,30540.21331,3928.383174,3110.943744
20121001,8194.175,30338.44487,3986.031388,3147.649261
20121101,8318.686,30085.17738,4027.527792,3190.183975
20121201,8429.038,29845.39067,4043.815434,3232.727202
20130101,8511.803,29698.13191,4033.039503,3265.287562
20130201,8559.417,29676.08428,4005.646892,3286.888253
20130301,8581.273,29709.83852,3980.389575,3308.094642
20130401,8604.807,29757.96204,3967.202159,3341.432221
20130501,8656.021,29772.64024,3970.136776,3391.675884
20130601,8749.687,29765.0063,3985.724455,3454.52438
20130701,8885.541,29861.65573,4001.171857,3521.797376
20130801,9045.638,30215.77254,4008.300787,3578.960076
20130901,9186.907,30834.66414,4004.290543,3615.934272
20131001,9268.479,31624.9127,3994.325268,3628.14502
20131101,9275.442,32354.90148,3985.66093,3618.546179
20131201,9217.173,32756.92071,3987.164646,3593.441311
20140101,9135.324,32668.86628,4003.952513,3567.390456
20140201,9075.647,32108.92634,4032.921098,3549.790758
20140301,9061.473,31282.52223,4065.559265,3535.876214
20140401,9096.086,30401.77705,4098.847988,3517.843363
20140501,9165.488,29684.93144,4134.547457,3493.522637
20140601,9246.57,29280.38225,4168.406667,3461.213982
20140701,9320.805,29322.92573,4197.022507,3431.760225
20140801,9380.239,29762.26877,4217.43641,3416.179088
20140901,9437.18,30489.88876,4228.907724,3417.390179
20141001,9499.039,31376.60117,4231.730861,3433.356047
20141101,9561.837,32333.17231,4228.119552,3458.934221
20141201,9625.495,33267.36406,4220.359046,3486.247959
