tm,cpgccl,yyjgl,ymcl,hlfdl,gyzjz
2001/1/1,1226.861,7698.136,1694.751,921.175,11.469
2001/2/1,1245.225,7724.03,1732.602,935.344,11.285
2001/3/1,1262.034,7755.913,1769.697,949.401,10.986
2001/4/1,1277.975,7784.331,1803.317,962.949,10.597
2001/5/1,1291.673,7809.452,1826.823,974.363,10.125
2001/6/1,1301.798,7843.237,1835.45,982.447,9.632
2001/7/1,1308.913,7903.408,1827.311,987.528,9.17
2001/8/1,1316.893,8004.245,1806.976,991.477,8.815
2001/9/1,1329.199,8139.587,1783.895,996.388,8.631
2001/10/1,1347.751,8294.866,1761.56,1001.615,8.611
2001/11/1,1375.869,8453.089,1743.642,1007.655,8.722
2001/12/1,1412.212,8603.796,1736.133,1015.344,8.986
2002/1/1,1452.953,8736.551,1741.6,1025.339,9.407
2002/2/1,1492.673,8843.405,1759.717,1038.544,9.983
2002/3/1,1527.046,8920.096,1785.418,1053.65,10.685
2002/4/1,1554.976,8972.46,1811.211,1068.783,11.403
2002/5/1,1576.541,9013.566,1830.852,1083.008,12.026
2002/6/1,1592.825,9055.566,1842.533,1095.534,12.548
2002/7/1,1606.119,9114.496,1850.483,1107.425,12.996
2002/8/1,1619.866,9199.178,1858.956,1120.105,13.416
2002/9/1,1636.52,9322.082,1872.739,1135.246,13.846
2002/10/1,1656.361,9482.355,1893.133,1152.881,14.341
2002/11/1,1676.497,9663.298,1916.029,1171.559,14.865
2002/12/1,1698.955,9849.309,1935.22,1188.25,15.251
2003/1/1,1726.102,10032.292,1945.578,1202.15,15.402
2003/2/1,1757.99,10221.804,1946.805,1213.243,15.363
2003/3/1,1798.175,10419.39,1944.513,1225.031,15.287
2003/4/1,1844.668,10601.934,1947.247,1240.456,15.321
2003/5/1,1894.573,10751.112,1960.539,1258.676,15.516
2003/6/1,1944.842,10866.462,1986.341,1279.959,15.867
2003/7/1,1992.127,10958.453,2021.27,1301.607,16.337
2003/8/1,2035.615,11046.444,2060.865,1319.719,16.845
2003/9/1,2076.929,11158.486,2100.247,1333.721,17.28
2003/10/1,2118.629,11314.747,2134.218,1344.636,17.597
2003/11/1,2161.745,11536.312,2160.979,1355.975,17.84
2003/12/1,2203.541,11808.12,2180.726,1370.545,18.103
2004/1/1,2237.873,12083.943,2196.854,1387.549,18.313
2004/2/1,2264.691,12325.374,2211.434,1404.777,18.311
2004/3/1,2284.335,12525.762,2226.267,1420.358,18.035
2004/4/1,2303.812,12701.999,2242.186,1431.781,17.548
2004/5/1,2334.039,12871.763,2258.08,1441.888,17.009
2004/6/1,2382.474,13043.06,2273.468,1452.266,16.514
2004/7/1,2451.801,13208.392,2288.611,1464.617,16.111
2004/8/1,2533.65,13358.141,2303.467,1483.259,15.829
2004/9/1,2616.116,13474.068,2316.912,1505.669,15.663
2004/10/1,2690.841,13544.211,2332.302,1529.991,15.509
2004/11/1,2752.378,13567.667,2350.969,1552.751,15.284
2004/12/1,2800.243,13577.008,2371.18,1571.137,15.022
2005/1/1,2838.303,13628.884,2388.089,1584.874,14.847
2005/2/1,2870.143,13759.631,2399.222,1594.541,14.853
2005/3/1,2900.311,13981.453,2403.672,1600.318,15.026
2005/4/1,2936.1,14278.066,2405.116,1606.265,15.292
2005/5/1,2979.46,14611.183,2409.673,1614.306,15.574
2005/6/1,3030.08,14936.872,2418.372,1624.572,15.822
2005/7/1,3087.194,15230.054,2427.107,1638.621,16.025
2005/8/1,3149.908,15473.903,2432.416,1653.155,16.179
2005/9/1,3216.801,15679.128,2434.766,1667.74,16.362
2005/10/1,3282.401,15864.248,2436.493,1682.72,16.641
2005/11/1,3346.88,16054.389,2440.316,1698.116,16.975
2005/12/1,3416.426,16266.366,2449.117,1715.373,17.237
2006/1/1,3497.834,16487.609,2462.773,1735.362,17.39
2006/2/1,3588.37,16682.599,2478.152,1757.742,17.451
2006/3/1,3675.375,16822.673,2489.97,1783.038,17.417
2006/4/1,3744.547,16903.432,2495.441,1810.547,17.303
2006/5/1,3793.947,16963.546,2493.8,1839.803,17.115
2006/6/1,3831.88,17033.191,2491.848,1872.453,16.863
2006/7/1,3868.875,17161.968,2496.856,1909.571,16.573
2006/8/1,3917.348,17374.038,2513.437,1952.237,16.238
2006/9/1,3983.47,17661.17,2539.249,2001.1,15.797
2006/10/1,4068.413,17949.744,2569.672,2050.379,15.287
2006/11/1,4167.66,18180.429,2599.328,2093.506,14.899
2006/12/1,4261.581,18315.538,2624.009,2125.088,14.763
2007/1/1,4339.287,18369.62,2644.663,2147.722,14.92
2007/2/1,4404.795,18402.443,2662.68,2166.376,15.35
2007/3/1,4463.988,18459.495,2681.371,2186.968,15.974
2007/4/1,4526.6,18575.841,2700.325,2211.442,16.65
2007/5/1,4598.518,18750.621,2717.169,2238.867,17.256
2007/6/1,4676.709,18956.174,2728.825,2267.214,17.721
2007/7/1,4758.983,19161.84,2735.297,2291.95,18.023
2007/8/1,4839.61,19342.597,2739.929,2312.533,18.202
2007/9/1,4906.275,19528.534,2749.768,2328.275,18.265
2007/10/1,4948.51,19754.589,2768.997,2340.17,18.185
2007/11/1,4964.245,20035.796,2796.717,2352.166,17.92
2007/12/1,4968.534,20355.201,2826.539,2368.748,17.511
2008/1/1,4974.893,20717.477,2851.463,2385.071,17.033
2008/2/1,4988.492,21089.474,2867.101,2401.631,16.578
2008/3/1,5010.138,21409.96,2875.279,2416.376,16.213
2008/4/1,5023.148,21671.041,2880.11,2424.773,15.923
2008/5/1,5004.497,21861.531,2885.46,2424.831,15.528
2008/6/1,4945.275,21990.743,2889.146,2410.224,14.857
2008/7/1,4851.144,22014.208,2886.235,2375.672,13.85
2008/8/1,4738.081,21907.822,2872.621,2322.875,12.562
2008/9/1,4643.456,21693.698,2845.553,2258.635,11.168
2008/10/1,4604.969,21486.624,2809.613,2200.974,9.889
2008/11/1,4634.032,21398.537,2778.05,2161.831,8.849
2008/12/1,4717.024,21486.18,2763.666,2144.585,8.124
2009/1/1,4833.334,21784.917,2774.891,2152.266,7.726
2009/2/1,4969.887,22299.894,2815.009,2183.588,7.611
2009/3/1,5120.937,22972.571,2880.721,2227.862,7.733
2009/4/1,5288.013,23674.924,2963.382,2281.676,8.087
2009/5/1,5474.429,24301.982,3053.006,2338.608,8.77
2009/6/1,5677.284,24846.077,3139.528,2402.291,9.826
2009/7/1,5889.103,25283.233,3213.872,2480.783,11.219
2009/8/1,6097.374,25692.49,3270.237,2573.123,12.817
2009/9/1,6280.915,26079.375,3308.622,2671.106,14.357
2009/10/1,6410.085,26469.094,3332.282,2756.992,15.588
2009/11/1,6484.296,26846.563,3346.055,2818.75,16.427
2009/12/1,6523.562,27186.32,3359.111,2856.244,16.957
2010/1/1,6550.127,27410.325,3377.45,2869.11,17.206
2010/2/1,6572.471,27484.648,3402.397,2854.141,17.176
2010/3/1,6602.808,27528.337,3429.905,2822.856,16.916
2010/4/1,6640.683,27611.445,3454.043,2788.838,16.455
2010/5/1,6666.931,27729.63,3473.749,2759.795,15.82
2010/6/1,6669.065,27913.298,3492.282,2742.125,15.073
2010/7/1,6645.756,28226.158,3514.336,2733.641,14.333
2010/8/1,6615.79,28656.043,3544.361,2736.302,13.727
2010/9/1,6611.067,29132.128,3583.197,2752.989,13.415
2010/10/1,6663.717,29620.923,3626.209,2783.904,13.413
2010/11/1,6768.758,30053.654,3666.433,2825.949,13.579
2010/12/1,6900.332,30432.233,3698.479,2874.099,13.727
2011/1/1,7031.735,30752.901,3720.655,2932.704,13.839
2011/2/1,7143.247,31031.39,3735.105,3002.743,13.973
2011/3/1,7225.237,31291.096,3745.562,3077.364,14.103
2011/4/1,7285,31553.114,3753.885,3147.572,14.216
2011/5/1,7346.111,31876.526,3755.7,3211.311,14.322
2011/6/1,7407.311,32157.697,3748.523,3258.626,14.378
2011/7/1,7452.84,32229.781,3735.515,3281.781,14.299
2011/8/1,7471.59,31995.825,3719.711,3281.282,14.068
2011/9/1,7455.097,31487.927,3709.879,3259.569,13.746
2011/10/1,7422.14,30800.553,3712.478,3233.044,13.432
2011/11/1,7408.338,30124.77,3727.73,3212.109,13.236
2011/12/1,7439.977,29652.884,3748.829,3202.105,13.159
2012/1/1,7515.139,29499.336,3769.224,3199.5,13.061
2012/2/1,7620.684,29651.232,3782.391,3198.746,12.771
2012/3/1,7726.669,29967.162,3783.66,3192.984,12.239
2012/4/1,7803.965,30301.194,3779.009,3173.261,11.501
2012/5/1,7843.073,30531.087,3776.561,3140.102,10.677
2012/6/1,7867.337,30642.882,3786.242,3106.945,9.97
2012/7/1,7903.95,30674.789,3815.676,3087.614,9.536
2012/8/1,7968.544,30643.624,3866.752,3088.198,9.394
2012/9/1,8069.726,30540.213,3928.383,3110.944,9.446
2012/10/1,8194.175,30338.445,3986.031,3147.649,9.572
2012/11/1,8318.686,30085.177,4027.528,3190.184,9.666
2012/12/1,8429.038,29845.391,4043.815,3232.727,9.664
2013/1/1,8511.803,29698.132,4033.04,3265.288,9.583
2013/2/1,8559.417,29676.084,4005.647,3286.888,9.435
2013/3/1,8581.273,29709.839,3980.39,3308.095,9.318
2013/4/1,8604.807,29757.962,3967.202,3341.432,9.326
2013/5/1,8656.021,29772.64,3970.137,3391.676,9.496
2013/6/1,8749.687,29765.006,3985.724,3454.524,9.785
2013/7/1,8885.541,29861.656,4001.172,3521.797,10.103
2013/8/1,9045.638,30215.773,4008.301,3578.96,10.323
2013/9/1,9186.907,30834.664,4004.291,3615.934,10.316
2013/10/1,9268.479,31624.913,3994.325,3628.145,10.055
2013/11/1,9275.442,32354.901,3985.661,3618.546,9.607
2013/12/1,9217.173,32756.921,3987.165,3593.441,9.1
2014/1/1,9135.324,32668.866,4003.953,3567.39,8.711
2014/2/1,9075.647,32108.926,4032.921,3549.791,8.6
2014/3/1,9061.473,31282.522,4065.559,3535.876,8.72
2014/4/1,9096.086,30401.777,4098.848,3517.843,8.924
2014/5/1,9165.488,29684.931,4134.547,3493.523,9.07
2014/6/1,9246.57,29280.382,4168.407,3461.214,9.02
2014/7/1,9320.805,29322.926,4197.023,3431.76,8.735
2014/8/1,9380.239,29762.269,4217.436,3416.179,8.316
2014/9/1,9437.18,30489.889,4228.908,3417.39,7.907
2014/10/1,9499.039,31376.601,4231.731,3433.356,7.569
2014/11/1,9561.837,32333.172,4228.12,3458.934,7.304
2014/12/1,9625.495,33267.364,4220.359,3486.248,7.115
