tm,total,coal,oil,metal,iron,mine,heihuo_index
2008/1/1,165408469,110038098,10660059,22500685,17424178,4785449,0
2008/2/1,164040853,112587039,9994437,22055638,15845057,3558682,0
2008/3/1,174511815,113216402,10786796,24311525,19037006,7160086,0
2008/4/1,171312462,108788754,10390230,25299481,18367841,8466156,0
2008/5/1,178059218,112964941,10560302,26700719,18440615,9392641,0
2008/6/1,175413703,110068380,10567017,26593567,18965495,9219244,0
2008/7/1,180625254,114480198,11136706,26580478,19072859,9355013,0
2008/8/1,188560784,123251376,10830428,27111390,17780120,9587470,0
2008/9/1,180877024,117785461,10459881,26192481,16732761,9706440,0
2008/10/1,180912206,120955382,10682244,24302802,15776162,9195616,0
2008/11/1,156899055,102528786,9989655,22419223,14401193,7560198,0
2008/12/1,153648003,96587238,10655261,23891469,15319364,7194671,0
2009/1/1,166233677,104581723,10441998,29865916,16630360,4713680,0
2009/2/1,153691415,96575350,9409235,25526577,16574884,5605369,0
2009/3/1,169381922,105852292,10765010,27094793,17132965,8536862,0
2009/4/1,168465234,103686177,10462232,28329612,16581348,9405865,0
2009/5/1,179953584,110308469,10744198,30837676,17391060,10672181,0
2009/6/1,178387145,109650841,10426190,30405820,17792505,10111789,0
2009/7/1,186706320,115278427,10828518,31793069,19006317,9799989,0
2009/8/1,187832426,114363405,10702453,33451530,19384351,9930687,0
2009/9/1,181674949,112515285,10173501,31374530,18654872,8956761,0
2009/10/1,191309028,118132310,10965478,31918663,19208313,11084264,0
2009/11/1,181400119,115008176,10091950,28361277,17983860,9954856,0
2009/12/1,186989786,121249080,10298765,27837271,18924537,8680133,0
2010/1/1,199809279,133020829,10736799,30452666,18355917,7243068,0
2010/2/1,187851181,122000550,10150237,31136578,17972332,6591484,0
2010/3/1,206892645,130005781,11134407,35368880,20006508,10377069,0
2010/4/1,196659370,121769617,10649159,33777091,18904547,11558956,0
2010/5/1,205921670,131281227,10739104,33319104,19604783,10977452,0
2010/6/1,200816438,130220035,10542978,29360610,18473702,12219113,0
2010/7/1,208201087,134112770,10658159,30447499,18250975,14731684,0
2010/8/1,205894192,131377646,10683460,32223734,18705725,12903627,0
2010/9/1,198403542,126547273,10833072,31683759,18337005,11002433,0
2010/10/1,207855910,133691494,10787126,33560127,18846324,10970839,0
2010/11/1,198274008,130666184,10532421,29617055,18589038,8869310,0
2010/12/1,202787124,135506561,11027682,29930422,18233369,8089090,0
2011/1/1,220291984,147503659,10876262,34557326,19235069,8119668,0
2011/2/1,202649986,132845055,10206054,33603744,18862302,7132831,0
2011/3/1,219720942,143532294,10948577,33655445,19696889,11887737,0
2011/4/1,209260072,133948929,10409678,33730531,18647344,12523590,0
2011/5/1,223357997,145913595,10624898,33668085,19601650,13549769,0
2011/6/1,216732257,142073174,10221827,32276663,19113597,13046996,0
2011/7/1,220008009,145378218,10375249,32128797,19490017,12635728,0
2011/8/1,219020412,145252849,10391888,32394048,19694415,11287212,0
2011/9/1,212722706,141534309,9932285,32988845,18780084,9487183,0
2011/10/1,219068167,148100839,10220487,32883816,18741701,9121324,0
2011/11/1,211550281,146230763,10386481,29726590,17290026,7916421,0
2011/12/1,216185184,148943678,11051283,29862612,18632544,7695067,0
2012/1/1,224963402,155076974,11073952,34008960,18769994,6033522,0
2012/2/1,204377636,139189801,10143883,30389363,17817544,6837045,0
2012/3/1,223990078,150696100,10715193,33587437,18623905,10367443,0
2012/4/1,217267811,142948838,10128401,34215890,18314862,11659820,0
2012/5/1,227884676,151041654,9976343,34253921,18962186,13650572,0
2012/6/1,208529329,134310769,9872166,32103103,18086064,14157227,0
2012/7/1,199484775,127334807,10887735,32855460,18217809,10188964,0
2012/8/1,198526244,127169826,10690697,32399354,17693466,10572901,0
2012/9/1,200620946,129886618,10493533,33071783,17403867,9765145,0
2012/10/1,213507979,137918182,11195906,36369407,18088088,9936396,0
2012/11/1,213418531,141846173,10646547,34812888,18252709,7860214,0
2012/12/1,217135940,147733180,10699814,33050072,19091309,6561565,0
2013/1/1,222172523,150929691,10893594,34245628,19433667,6669943,0
2013/2/1,205575287,135752745,10377806,35504515,18774963,5165258,0
2013/3/1,217362256,143906554,10993617,33598143,19077451,9786491,0
2013/4/1,201203006,130174471,9929735,32683574,17587964,10827262,0
2013/5/1,209549558,136303239,10441360,33217230,17896087,11691642,0
2013/6/1,201660300,132299950,10674778,30200284,16870007,11615281,0
2013/7/1,208412147,135074777,10700459,32633229,17274933,12728749,0
2013/8/1,213219528,137814836,10873476,33621678,17848232,13061306,0
2013/9/1,215831685,139193998,10473030,34529122,17888080,13747455,0
2013/10/1,226910985,145571441,10968055,37117880,18393171,14860438,0
2013/11/1,216938088,143556613,10264049,33305704,17364046,12447676,0
2013/12/1,220990193,148878272,10727646,31216877,17289440,12877958,0
2014/1/1,224094556,157111241,10752627,31480738,18671346,6078604,0
2014/2/1,189308363,128276798,10001498,28882372,17046916,5100779,0
2014/3/1,209018293,141279946,10847721,28449830,17233101,11207695,0
2014/4/1,196375825,128979353,10713921,30766401,15760314,10155836,0
2014/5/1,207242820,136434634,10783965,30974606,16712523,12337092,0
2014/6/1,199303306,132636207,10647437,28513181,15993715,11512766,0
2014/7/1,202925036,134104940,10671882,30519477,15832039,11796698,0
2014/8/1,208888111,137211079,10768201,32549360,16149470,12210001,0
2014/9/1,201783577,133375094,10692203,31633308,15459828,10623144,0
2014/10/1,210614046,139467220,11154534,33036590,15894315,11061387,0
2014/11/1,200906266,135213989,10408790,31284605,15728951,8269931,0
2014/12/1,201554986,137215230,10626941,28993485,16165055,8554275,0
2015/1/1,204506401,145454067,10668276,27716996,16015569,4651493,0
2015/2/2,176643844,118982256,10088966,27119779,14463064,5989779,0
2015/3/3,188534606,126108646,11030637,25773475,14747463,10874385,0
2015/4/4,177350869,113654260,10850314,28142513,13979342,10724440,0
2015/5/5,183630640,117934782,10960165,30550283,14228965,9956445,0
2015/6/6,175701783,114102928,10413092,28697634,13502681,8985448,0
2015/7/7,178832827,118849670,10191339,26673044,13032589,10086185,0
