tm,total,machinery,electronic ,agricultural,food,education,ltl,container,baihuo_index
2008/1/1,9279095,491171,100055,495797,2095903,453201,54427,5588541,0
2008/2/1,6785843,402927,59637,256794,1379014,407896,35400,4244175,0
2008/3/1,9971675,489539,120893,390233,1744832,514407,70604,6641167,0
2008/4/1,9632461,496521,97967,305373,1641579,514492,72190,6504339,0
2008/5/1,8669774,437273,59819,249890,1592257,497113,44542,5788880,0
2008/6/1,8673028,385654,58657,200081,1653736,474441,55545,5844914,0
2008/7/1,8820251,409482,63998,163186,1696884,526697,46304,5913700,0
2008/8/1,8522658,375433,69693,149688,1679752,514897,37280,5695915,0
2008/9/1,8132416,379300,65289,235331,1595932,468708,47231,5340625,0
2008/10/1,7992256,325586,80782,407281,1461604,431169,45108,5240726,0
2008/11/1,7596405,321113,73246,462232,1467849,374753,32817,4864395,0
2008/12/1,8150095,346564,69100,466725,1825621,409358,8975,5023752,0
2009/1/1,6400627,281695,31921,368388,1516355,396023,29325,3776920,0
2009/2/1,6404861,302047,49921,297146,1455501,371697,28424,3900125,0
2009/3/1,8179786,416718,85047,310314,1568326,430722,30996,5337663,0
2009/4/1,8084662,375202,76335,282311,1379312,455912,24697,5490893,0
2009/5/1,8246183,358457,68708,221597,1437699,477966,24327,5657429,0
2009/6/1,7881407,340682,68776,159963,1349075,458797,33638,5470476,0
2009/7/1,8252788,309472,70007,170341,1419484,456774,30268,5796442,0
2009/8/1,8793415,337662,94679,179355,1585419,449398,9183,6137719,0
2009/9/1,9114854,360517,97168,265093,1625992,438696,11125,6316263,0
2009/10/1,9439956,350362,77610,346209,1387686,468530,14713,6794846,0
2009/11/1,9760831,386752,87754,343565,1435593,499635,12349,6995183,0
2009/12/1,10785601,427654,86615,352638,1638957,507551,28027,7744159,0
2010/1/1,9864610,344074,85468,362428,1736647,536757,16661,6782575,0
2010/2/1,6858354,313161,37334,188212,1060375,423380,8720,4827172,0
2010/3/1,10065307,390420,89157,317750,1548535,586957,5830,7126658,0
2010/4/1,10201203,348981,94948,215717,1500580,527824,11328,7501825,0
2010/5/1,10006442,323158,73649,234355,1422196,504007,17541,7431536,0
2010/6/1,9258637,293415,61159,171201,1296673,444755,8096,6983338,0
2010/7/1,9247920,321980,61384,150400,1445529,416340,8469,6843818,0
2010/8/1,9440363,300667,68091,152838,1525159,491343,5375,6896890,0
2010/9/1,9322971,317343,67979,194652,1690726,475824,13110,6563337,0
2010/10/1,9678910,350285,77350,286149,1491470,480433,15459,6977764,0
2010/11/1,9910273,400772,76844,262881,1394342,481919,5510,7288005,0
2010/12/1,10089900,416135,76557,249883,1673015,528321,403,7145586,0
2011/1/1,9181819,360538,92798,252106,1605116,486571,188,6384502,0
2011/2/1,7337772,298426,65911,153074,1101795,458678,99,5259789,0
2011/3/1,10957449,401167,137113,324714,1523026,537475,165,8033789,0
2011/4/1,10415488,367893,120060,262253,1342891,514644,244,7807503,0
2011/5/1,10663088,324450,114357,252800,1392949,513142,311,8065079,0
2011/6/1,10437171,309861,98981,183647,1444673,449700,288,7950021,0
2011/7/1,10762632,296774,82313,161905,1582145,477921,2321,8159253,0
2011/8/1,10820263,288904,96157,117498,1645792,456641,513,8214758,0
2011/9/1,10377208,325587,95279,164130,1428736,469476,2338,7891662,0
2011/10/1,10773243,345239,80757,252788,1503725,457733,6019,8126982,0
2011/11/1,10657287,360838,80786,271384,1480517,465752,4055,7993955,0
2011/12/1,10985675,361476,106528,262972,1827353,466550,2806,7957990,0
2012/1/1,8103432,250868,50822,185297,1394831,431284,3220,5787110,0
2012/2/1,9322843,337148,84590,232107,1545309,410316,368,6713005,0
2012/3/1,11271437,387697,104733,257689,1658354,451603,755,8410606,0
2012/4/1,10782787,316687,94279,211155,1520114,492631,169,8147752,0
2012/5/1,11153069,308059,92109,178110,1654304,475355,363,8444769,0
2012/6/1,10027103,286239,85860,153349,1589546,423887,2980,7485242,0
2012/7/1,10101736,289099,80751,136407,1596584,403965,444,7594486,0
2012/8/1,10428956,305757,91670,152728,1684654,400888,114,7793145,0
2012/9/1,10218822,340384,84657,205063,1631245,420830,1154,7535489,0
2012/10/1,10062257,288901,86072,298722,1349916,440507,178,7597961,0
2012/11/1,10126474,364728,86434,264259,1363499,429111,115,7618328,0
2012/12/1,10460494,402717,98244,287880,1704619,444006,107,7522921,0
2013/1/1,9839907,354347,92734,297081,1869206,426981,1,6799557,0
2013/2/1,7035197,244735,31800,145948,1107108,324065,1,5181540,0
2013/3/1,10582769,384545,87306,274578,1691877,422699,1,7721763,0
2013/4/1,9844949,338022,24571,172437,1465083,400297,1,7444538,0
2013/5/1,9383682,310621,18104,185392,1283273,395876,60,7190356,0
2013/6/1,9157835,293348,19042,161368,1365375,386307,425,6931970,0
2013/7/1,9160902,298186,16889,130336,1365737,391528,1282,6956944,0
2013/8/1,9639667,308787,19900,142964,1456811,403689,1715,7305801,0
2013/9/1,9597297,346865,18112,161220,1213351,359987,3272,7494490,0
2013/10/1,9912293,356035,19634,230943,1144666,394854,9454,7756707,0
2013/11/1,9934854,376801,17842,211473,1216252,386819,11735,7713932,0
2013/12/1,10596184,370365,19450,200432,1547292,385407,13851,8059387,0
2014/1/1,8643634,388907,12917,234087,1247440,385390,11688,6363205,0
2014/2/1,7350495,279491,9825,207019,1048756,312842,8878,5483684,0
2014/3/1,10014635,371284,17444,251421,1294468,380771,24041,7675206,0
2014/4/1,9487050,354297,22002,185362,1130534,343962,22819,7428074,0
2014/5/1,9980068,361864,20667,175154,1166398,343468,10340,7902177,0
2014/6/1,9498657,336344,15767,142235,1087716,352410,8319,7555866,0
2014/7/1,9643482,318146,12090,129168,1044126,336906,14025,7789021,0
2014/8/1,10383964,319796,16831,99043,1123397,344252,56851,8423794,0
2014/9/1,10106942,329489,8041,129863,1032560,317910,84063,8205016,0
2014/10/1,10384810,332912,6933,176027,961421,325903,714248,7867366,0
2014/11/1,11533844,404462,11805,228143,1011140,354509,1504127,8019658,0
2014/12/1,12146011,419041,16244,197915,1185827,374392,2063688,7888904,0
2015/1/1,11366903,418164,26256,297313,1420837,362604,1673076,7168653,0
2015/2/2,7564909,305462,12379,143415,885925,255353,968963,4993412,0
2015/3/3,12329353,415022,36453,288138,1459287,355551,1964112,7810790,0
2015/4/4,12223271,388504,45181,258057,1365610,398479,1950056,7817384,0
2015/5/5,12540366,468133,43856,257696,1309977,380254,1799334,8281116,0
2015/6/6,11572085,427490,41366,195530,1173866,355680,1444399,7933754,0
2015/7/7,12728719,464016,56934,193444,1300396,368961,1769829,8575139,0
